Province,City,Sub-district,Latitude,Longitude,Keyword
Aceh,Aceh Selatan,,3.3115056,97.3516558,Aceh Selatan
Aceh,Aceh Tenggara,,3.3088666,97.6982272,Aceh Tenggara
Aceh,Aceh Timur,,4.5224111,97.6114217,Aceh Timur
Aceh,Aceh Tengah,,4.4482641,96.8350999,Aceh Tengah
Aceh,Aceh Barat,,4.4542745,96.1526985,Aceh Barat
Aceh,Aceh Besar,,5.4529168,95.4777811,Aceh Besar
Aceh,Pidie,,5.3704132,95.9356872,Pidie
Aceh,Aceh Utara,,4.9786331,97.2221421,Aceh Utara
Aceh,Simeulue,,2.6439724,96.0255738,Simeulue
Aceh,Aceh Singkil,,2.3589459,97.87216,Aceh Singkil
Aceh,Bireuen,,5.1086446,96.663812,Bireuen
Aceh,Aceh Barat Daya,,3.7963426,97.0068393,Aceh Barat Daya
Aceh,Gayo Lues,,3.955165,97.3516558,Gayo Lues
Aceh,Aceh Jaya,,4.7873684,95.6457951,Aceh Jaya
Aceh,Nagan Raya,,4.1248406,96.4929797,Nagan Raya
Aceh,Aceh Tamiang,,4.2328871,98.0028892,Aceh Tamiang
Aceh,Bener Meriah,,4.7513606,96.9525224,Bener Meriah
Aceh,Pidie Jaya,,5.1548063,96.195132,Pidie Jaya
Aceh,Banda Aceh,,5.5482904,95.3237559,Banda Aceh
Aceh,Sabang,,5.880241,95.336574,Sabang
Aceh,Lhokseumawe,,5.1811638,97.1413222,Lhokseumawe
Aceh,Langsa,,4.4757799,97.9641022,Langsa
Aceh,Subulussalam,,2.6449927,98.0165205,Subulussalam
Sumatera Utara,Tapanuli Tengah,,1.8493299,98.704075,Tapanuli Tengah
Sumatera Utara,Tapanuli Utara,,2.0405246,99.1013498,Tapanuli Utara
Sumatera Utara,Tapanuli Selatan,,1.5774933,99.2785583,Tapanuli Selatan
Sumatera Utara,Nias,,1.0869444,97.7416703,Nias
Sumatera Utara,Langkat,,3.8653916,98.3088441,Langkat
Sumatera Utara,Karo,,3.1052909,98.265058,Karo
Sumatera Utara,Deli Serdang,,3.4201802,98.704075,Deli Serdang
Sumatera Utara,Simalungun,,2.9781612,99.2785583,Simalungun
Sumatera Utara,Asahan,,2.8174722,99.634135,Asahan
Sumatera Utara,Labuhan Batu,,2.3439863,100.1703257,Labuhan Batu
Sumatera Utara,Dairi,,2.8675801,98.265058,Dairi
Sumatera Utara,Toba Samosir,,2.3502398,99.2785583,Toba Samosir
Sumatera Utara,Mandailing Natal,,0.7432372,99.3673084,Mandailing Natal
Sumatera Utara,Nias Selatan,,0.7086091,97.8286368,Nias Selatan
Sumatera Utara,Pakpak Bharat,,2.5135376,98.2212979,Pakpak Bharat
Sumatera Utara,Humbang Hasundutan,,2.1988508,98.5721016,Humbang Hasundutan
Sumatera Utara,Samosir,,2.6274431,98.7921836,Samosir
Sumatera Utara,Serdang Bedagai,,3.3371694,99.0571089,Serdang Bedagai
Sumatera Utara,Batu Bara,,3.1740979,99.5006143,Batu Bara
Sumatera Utara,Padang Lawas Utara,,1.5758644,99.634135,Padang Lawas Utara
Sumatera Utara,Padang Lawas,,1.1186977,99.8124935,Padang Lawas
Sumatera Utara,Labuhan Batu Selatan,,1.8799353,100.1703257,Labuhan Batu Selatan
Sumatera Utara,Labuhan Batu Utara,,2.3465638,99.8124935,Labuhan Batu Utara
Sumatera Utara,Nias Utara,,1.3166036,97.394882,Nias Utara
Sumatera Utara,Nias Barat,,1.0116383,97.4814163,Nias Barat
Sumatera Utara,Medan,,3.5951956,98.6722227,Medan
Sumatera Utara,Pematang Siantar,,2.965147,99.0626377,Pematang Siantar
Sumatera Utara,Sibolga,,1.7368371,98.7851121,Sibolga
Sumatera Utara,Tanjung Balai,,2.9662346,99.7985457,Tanjung Balai
Sumatera Utara,Binjai,,3.6135482,98.5025286,Binjai
Sumatera Utara,Tebing Tinggi,,3.3805315,99.2082661,Tebing Tinggi
Sumatera Utara,Padang Sidempuan,,1.3721801,99.2730146,Padang Sidempuan
Sumatera Utara,Gunungsitoli,,1.2783137,97.6084204,Gunungsitoli
Sumatera Barat,Pesisir Selatan,,-1.7223147,100.8903099,Pesisir Selatan
Sumatera Barat,Solok,,-0.9643838,100.8903099,Solok
Sumatera Barat,Sijunjung,,-0.6480415,100.8627167,Sijunjung
Sumatera Barat,Tanah Datar,,-0.4797043,100.5746224,Tanah Datar
